Open,High,Low,Close,Date
48.0625,49.0,48.0,48.75,1999-12-31
48.5625,49.0,46.625,47.0,2000-01-03
47.0625,47.75,43.5,44.25,2000-01-04
45.0,45.25,44.4375,44.9375,2000-01-05
44.5625,45.0,43.125,43.75,2000-01-06
44.5625,44.75,43.375,44.125,2000-01-07
44.75,45.0,44.25,44.75,2000-01-10
44.6875,44.9375,43.8125,44.125,2000-01-11
43.5,43.5625,41.5,41.8125,2000-01-12
42.375,42.9375,40.75,40.8125,2000-01-13
41.25,42.0,40.0,42.0,2000-01-14
42.125,43.0625,40.875,41.125,2000-01-18
41.0,41.0,40.0,40.5625,2000-01-19
40.8125,41.5625,40.0625,41.0,2000-01-20
42.875,43.375,42.0,43.0,2000-01-21
43.4375,43.5,40.9375,42.0,2000-01-24
41.0,41.125,38.5625,40.0,2000-01-25
40.5,40.5,39.6875,40.0,2000-01-26
40.0625,40.3125,39.0,39.0,2000-01-27
39.3125,40.4375,39.0,39.25,2000-01-28
39.5,43.5,39.0625,42.875,2000-01-31
43.0,43.0,41.75,42.375,2000-02-01
43.0,43.125,42.5,42.5,2000-02-02
43.0,43.1875,41.3125,42.0,2000-02-03
42.0,42.375,41.5625,42.0,2000-02-04
41.375,42.3125,41.0625,41.875,2000-02-07
42.5,43.0,42.0,42.0625,2000-02-08
42.3125,42.8125,42.0,42.625,2000-02-09
42.375,42.4375,41.9375,42.125,2000-02-10
42.0,42.0625,39.75,40.4375,2000-02-11
39.5,41.5,39.4375,40.875,2000-02-14
40.0,41.0,39.5625,40.6875,2000-02-15
40.375,40.6875,38.75,39.0625,2000-02-16
38.9375,40.0,38.0,40.0,2000-02-17
38.0625,38.25,36.0,38.25,2000-02-18
37.25,37.3125,35.5625,36.5,2000-02-22
36.0,36.5,34.8125,35.75,2000-02-23
35.4375,35.875,34.8125,35.5,2000-02-24
36.0,36.6875,34.9375,35.4375,2000-02-25
35.75,37.5,35.75,37.0,2000-02-28
37.1875,38.125,37.125,37.75,2000-02-29
40.0625,42.0,39.75,42.0,2000-03-01
43.0,46.0,42.8125,45.25,2000-03-02
45.5,46.0,44.1875,45.5625,2000-03-03
44.5625,44.5625,42.75,43.375,2000-03-06
43.5625,44.5,41.875,41.875,2000-03-07
41.875,42.0625,41.375,41.625,2000-03-08
41.375,41.625,40.625,41.5625,2000-03-09
41.5625,42.5,41.4375,42.0,2000-03-10
41.25,44.0,41.0625,43.6875,2000-03-13
43.75,43.75,42.0,42.125,2000-03-14
42.625,43.0,42.3125,42.5,2000-03-15
43.9375,45.5,42.9375,45.125,2000-03-16
45.375,46.8125,45.125,45.75,2000-03-17
45.125,45.75,44.1875,44.4375,2000-03-20
44.5625,45.375,43.8125,45.25,2000-03-21
44.375,44.9375,43.0,43.3125,2000-03-22
42.4375,44.0,42.375,43.5625,2000-03-23
43.0625,43.6875,42.5625,43.0,2000-03-24
43.125,43.625,42.4375,43.1875,2000-03-27
42.6875,43.375,42.4375,42.5,2000-03-28
42.9375,43.875,41.9375,42.25,2000-03-29
43.0,43.375,41.5625,41.625,2000-03-30
42.5,43.0,42.0,42.125,2000-03-31
42.5,44.875,42.4375,44.75,2000-04-03
45.0,47.1875,44.75,46.0,2000-04-04
46.0,47.125,45.875,46.3125,2000-04-05
46.0625,47.3125,46.0,46.609375,2000-04-06
47.0,47.1875,45.3125,46.375,2000-04-07
46.0,46.4375,45.5625,46.25,2000-04-10
46.3125,48.25,46.0625,47.25,2000-04-11
47.9375,49.0,47.0,47.0,2000-04-12
47.3125,47.3125,46.0,47.0,2000-04-13
45.625,46.625,42.0,42.625,2000-04-14
43.5,43.5625,40.875,41.875,2000-04-17
41.125,41.9375,40.4375,41.5,2000-04-18
41.4375,42.625,41.125,41.9375,2000-04-19
42.0,42.375,40.9375,41.1875,2000-04-20
41.1875,42.4375,41.0,42.25,2000-04-24
42.8125,45.4375,42.4375,44.9375,2000-04-25
45.0,45.1875,43.5,44.0,2000-04-26
43.75,44.25,43.0,43.25,2000-04-27
43.5,44.3125,43.25,43.8125,2000-04-28
44.125,45.125,43.6875,44.625,2000-05-01
44.5,44.5,41.75,42.375,2000-05-02
42.3125,42.6875,41.6875,41.9375,2000-05-03
42.0,42.0,40.8125,41.0625,2000-05-04
41.0625,43.1875,41.0625,43.0,2000-05-05
42.625,42.9375,41.875,42.875,2000-05-08
42.375,43.5,41.875,42.3125,2000-05-09
42.5,46.0,42.25,45.125,2000-05-10
45.3125,45.9375,45.1875,45.5625,2000-05-11
44.6875,45.0,44.1875,44.84375,2000-05-12
44.375,46.75,44.0,46.0,2000-05-15
46.5,46.9375,45.3125,45.6875,2000-05-16
45.1875,45.4375,44.8125,45.3125,2000-05-17
45.0625,45.5625,43.9375,44.25,2000-05-18
42.875,43.6875,42.375,42.6875,2000-05-19
43.625,43.625,41.75,42.5,2000-05-22
42.25,42.4375,41.75,41.8125,2000-05-23
42.0625,43.3125,42.0625,43.125,2000-05-24
42.5,43.1875,41.5625,42.0625,2000-05-25
42.0625,43.0625,42.0625,42.625,2000-05-26
43.25,44.25,42.75,44.25,2000-05-30
44.0,44.3125,43.25,43.6875,2000-05-31
44.125,44.875,44.0,44.0,2000-06-01
45.0,45.4375,44.75,45.0,2000-06-02
45.3125,45.3125,44.3125,44.3125,2000-06-05
44.6875,46.375,44.625,45.3125,2000-06-06
45.25,46.75,45.0625,46.375,2000-06-07
46.375,47.3125,46.3125,47.0,2000-06-08
